"issue1","issue2","issue3","issue4","issue5","issue6","issue7","issue8","issue9","issue10","issue11","issue12","issue13","issue14","issue15","issue16"
0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0
0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1
1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1
0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1
0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1
1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0
1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0
1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1
0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1
1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1
0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0
1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0
1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1
1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1
1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0
0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0
1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1
1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0
0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1
1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0
1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1
1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1
1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1
0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1
0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1
0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1
0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1
1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1
1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0
0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1
0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0
1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1
1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1
1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1
0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0
0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1
0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1
1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1
1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1
1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0
1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1
0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1
1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0
1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1
1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0
0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1
1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1
1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0
0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1
0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0
1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1
1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0
1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1
1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0
1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0
0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0
1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0
1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1
0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0
1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0
1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0
1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0
1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0
1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0
1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0
0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1
0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0
1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0
1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1
0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1
1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1
1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1
1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1
0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0
1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1
1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1
1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0
0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1
1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0
0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0
0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1
1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0
1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1
0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1
0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0
0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1
0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0
1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1
1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0
0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0
1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1
0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0
0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0
0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0
0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0
0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0
1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1
0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0
1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1
1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0
0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1
0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0
0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0
0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0
0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0
0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0
1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1
1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1
1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0
1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0
0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1
0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1
0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1
1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1
1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0
0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1
1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0
1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1
1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1
1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1
1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0
0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0
1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0
1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0
1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0
0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0
1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0
0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1
1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1
0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0
1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0
0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1
1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0
1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0
0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1
0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1
0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1
0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0
0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0
1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1
0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1
